comprobacion,via,estimacion,ee,ic_bajo,ic_alto,p,est_std,r_rasgo,p_rasgo,cfi,rmsea,srmr,estadistico,gl
"R0 referencia (restringido, 6 olas)",exposicion(t-1) -> desenlace(t),0.965580028889501,0.388636613530785,0.203866263295551,1.72729379448345,0.0129721917870749,0.0801281481824037,0.174908629463226,0.00613781625850973,0.959651357622336,0.0670996048503597,0.0689501657894355,NA,NA
"R0 referencia (restringido, 6 olas)",desenlace(t-1) -> exposicion(t),0.0060587609480846,0.00401873584490283,-0.00181781657130508,0.0139353384674743,0.131649618098696,0.0544992463528272,0.174908629463226,0.00613781625850973,0.959651357622336,0.0670996048503597,0.0689501657894355,NA,NA
R1 igualdad entre olas (LRT restringido vs libre),NA,NA,NA,NA,NA,0.0409097173373842,NA,NA,NA,NA,NA,NA,27.0519155349,16
R2 rezago c en la ola 2,dolor(t-1) -> motor(t),1.34891154073177,0.630682651066799,0.112796258966602,2.58502682249694,0.0324509076931301,0.131892641785585,NA,NA,NA,NA,NA,NA,NA
R2 rezago c en la ola 3,dolor(t-1) -> motor(t),0.251932172542304,0.730019883427482,-1.17888050697369,1.6827448520583,0.730016813864927,0.0201276023057305,NA,NA,NA,NA,NA,NA,NA
R2 rezago c en la ola 4,dolor(t-1) -> motor(t),1.24226536592196,0.703305839668791,-0.136188749945572,2.62071948178949,0.07734165471657,0.0994044245137087,NA,NA,NA,NA,NA,NA,NA
R2 rezago c en la ola 5,dolor(t-1) -> motor(t),0.591695701831473,0.802858275694439,-0.981877603219556,2.1652690068825,0.461130565727506,0.0492954924874714,NA,NA,NA,NA,NA,NA,NA
R2 rezago c en la ola 6,dolor(t-1) -> motor(t),0.919348329177099,0.778331875333089,-0.606154114495274,2.44485077284947,0.237532099955279,0.0744170125271782,NA,NA,NA,NA,NA,NA,NA
R3 solo BL-V04-V06,exposicion(t-1) -> desenlace(t),0.679255718343283,0.585065318949065,-0.467451235400325,1.82596267208689,0.245645456187053,0.0568559652834582,0.182579100217613,0.0474159201669109,0.994696117718214,0.0440351418483468,0.0202290885359939,NA,NA
R3 solo BL-V04-V06,desenlace(t-1) -> exposicion(t),0.00820391238950634,0.00648421448955054,-0.00450491447804548,0.0209127392570582,0.205794987834125,0.0712772118192072,0.182579100217613,0.0474159201669109,0.994696117718214,0.0440351418483468,0.0202290885359939,NA,NA
R4 con auxiliares basales,exposicion(t-1) -> desenlace(t),0.99968204864341,0.383140182428865,0.248741090052729,1.75062300723409,0.00907592472221053,0.0834946244225613,0.180494980459366,0.0049418921269111,0.951098218389364,0.0550612831648424,0.0521395532773212,NA,NA
R4 con auxiliares basales,desenlace(t-1) -> exposicion(t),0.00658216443302778,0.00394344216624667,-0.00114684018793231,0.0143111690539879,0.0950892670553556,0.0588054870537799,0.180494980459366,0.0049418921269111,0.951098218389364,0.0550612831648424,0.0521395532773212,NA,NA
R5 dolor dicotomizado,exposicion(t-1) -> desenlace(t),1.13983419389352,0.640999543986866,-0.116501826427337,2.39617021421437,0.0753687577955655,0.0561296596944982,0.172812470248852,0.0115601974718786,0.949289839109421,0.0719155445267189,0.0672945045177646,NA,NA
R5 dolor dicotomizado,desenlace(t-1) -> exposicion(t),0.00190882995282028,0.00188663314094765,-0.00178890305547678,0.00560656296111734,0.311650283132783,0.0305903683476155,0.172812470248852,0.0115601974718786,0.949289839109421,0.0719155445267189,0.0672945045177646,NA,NA
R6 motor en estado ON,exposicion(t-1) -> desenlace(t),0.399948625147653,0.36889199172238,-0.323066392813459,1.12296364310876,0.278281025255711,0.0293577479575835,0.126785156459258,0.0915388219029121,0.969728100569668,0.0545996165118623,0.0756342925240732,NA,NA
R6 motor en estado ON,desenlace(t-1) -> exposicion(t),0.00460706266229983,0.00333705104777862,-0.00193343720591791,0.0111475625305176,0.167408438043768,0.0483601070351301,0.126785156459258,0.0915388219029121,0.969728100569668,0.0545996165118623,0.0756342925240732,NA,NA
R7 control negativo: MoCA,exposicion(t-1) -> desenlace(t),-0.0735527895998904,0.0857405097684655,-0.241601100762187,0.0944955215624067,0.390973407293611,-0.0196016065005682,-0.15674227130209,0.0325026144957439,0.92734912848605,0.0938127173789515,0.0923288846127904,NA,NA
R7 control negativo: MoCA,desenlace(t-1) -> exposicion(t),-0.010150589603146,0.0126237821402636,-0.0348927479467426,0.0145915687404506,0.421348081693554,-0.0244473974994439,-0.15674227130209,0.0325026144957439,0.92734912848605,0.0938127173789515,0.0923288846127904,NA,NA
