modelo,estrato,n,estimacion,ee,ic_bajo,ic_alto,p
UPDRS3 ~ dolor_int | fenotipo_bl,TD,493,1.7844433593373268,0.5823885509686851,0.642961799438704,2.9259249192359498,0.0023049919991267654
UPDRS3 ~ dolor_int | fenotipo_bl,Indeterminado,72,0.5511727063662779,1.6999975435072328,-2.780822478907898,3.883167891640454,0.7467970004893354
UPDRS3 ~ dolor_int | fenotipo_bl,PIGD,131,0.7456649587613152,1.2222403626832818,-1.6499261520979172,3.141256069620548,0.5429160275667366
UPDRS3 ~ dolor_int | fenotipo_conc,TD,477,1.1457901742094845,0.6151307675634214,-0.05986613021482157,2.3514464786337905,0.06313001320052213
UPDRS3 ~ dolor_int | fenotipo_conc,Indeterminado,63,3.1741473076964537,1.896962799247606,-0.543899778828854,6.892194394221761,0.09975262232411197
UPDRS3 ~ dolor_int | fenotipo_conc,PIGD,159,1.5066688868798623,1.1165899203860485,-0.6818473570767929,3.6951851308365176,0.17921842016146317
UPDRS3 ~ dolor_si | fenotipo_bl,TD,493,2.626946541280295,0.9785518825796133,0.7089848514242529,4.544908231136337,0.007510884648370753
UPDRS3 ~ dolor_si | fenotipo_bl,Indeterminado,72,-1.7202119571860186,3.2386004819507646,-8.067868901809517,4.62744498743748,0.5970916336772711
UPDRS3 ~ dolor_si | fenotipo_bl,PIGD,131,1.188858234005192,2.206279099439889,-3.1354488008969907,5.5131652689073745,0.5909472592094462
UPDRS3 ~ dolor_si | fenotipo_conc,TD,477,1.9727141213802224,0.9733980498826862,0.0648539436101574,3.8805742991502874,0.04326355397186126
UPDRS3 ~ dolor_si | fenotipo_conc,Indeterminado,63,8.031446082306843,3.177117240479736,1.80429629096656,14.258595873647126,0.014270497911694737
UPDRS3 ~ dolor_si | fenotipo_conc,PIGD,159,0.13440736533418313,2.1300473142556164,-4.0404853706068256,4.309300101275191,0.9497687200858721
UPDRS3_resto ~ dolor_int | fenotipo_bl,TD,491,1.6830839751965547,0.5096726040581697,0.6841256712425421,2.6820422791505676,0.001029802939635867
UPDRS3_resto ~ dolor_int | fenotipo_bl,Indeterminado,72,0.23994171810242854,1.3809264255936105,-2.466674076061048,2.946557512265905,0.8625905022629946
UPDRS3_resto ~ dolor_int | fenotipo_bl,PIGD,130,-0.5274812097533397,1.0315283479073378,-2.549276771651722,1.4943143521450424,0.6100091202691504
UPDRS3_resto ~ dolor_int | fenotipo_conc,TD,477,0.9866727483254363,0.4992990990484288,0.00804651419051583,1.9652989824603568,0.048724765991761905
UPDRS3_resto ~ dolor_int | fenotipo_conc,Indeterminado,63,1.3208162292638765,1.4199641095158413,-1.4623134253871721,4.103945883914925,0.35620292271379983
UPDRS3_resto ~ dolor_int | fenotipo_conc,PIGD,159,0.8395563037831368,1.0373077448279393,-1.193566876079624,2.8726794836458978,0.41956448555287995
UPDRS3_resto ~ dolor_si | fenotipo_bl,TD,491,2.643146676380957,0.827387403669518,1.0214673651887014,4.264825987573213,0.0014915695315246722
UPDRS3_resto ~ dolor_si | fenotipo_bl,Indeterminado,72,-1.3742092393106153,2.7760285939137637,-6.815225283381592,4.066806804760361,0.6222250704931201
UPDRS3_resto ~ dolor_si | fenotipo_bl,PIGD,130,-1.131224127883787,2.015458254749601,-5.081522307193005,2.8190740514254315,0.5756237645384286
UPDRS3_resto ~ dolor_si | fenotipo_conc,TD,477,1.9034817076379387,0.8084058153861724,0.3190063094810407,3.4879571057948366,0.01895159499467585
UPDRS3_resto ~ dolor_si | fenotipo_conc,Indeterminado,63,4.1468121227375745,2.5055868538726664,-0.7641381108528513,9.057762356328,0.10341570127323658
UPDRS3_resto ~ dolor_si | fenotipo_conc,PIGD,159,-0.1788255333119961,2.035555165148653,-4.168513657003356,3.810862590379364,0.9301099899278793
