EVENT_ID,fenotipo,n,pct
BL,TD,819,70.8477508650519
BL,Indeterminado,115,9.948096885813149
BL,PIGD,222,19.20415224913495
V04,TD,482,68.07909604519774
V04,Indeterminado,65,9.180790960451978
V04,PIGD,161,22.740112994350284
V06,TD,304,64.27061310782241
V06,Indeterminado,54,11.416490486257928
V06,PIGD,115,24.312896405919663
V08,TD,214,66.25386996904025
V08,Indeterminado,29,8.978328173374614
V08,PIGD,80,24.76780185758514
V10,TD,163,58.422939068100355
V10,Indeterminado,26,9.31899641577061
V10,PIGD,90,32.25806451612903
V12,TD,135,57.20338983050848
V12,Indeterminado,31,13.135593220338983
V12,PIGD,70,29.661016949152543
