visita,especificacion,n,estimacion,ic_bajo,ic_alto,p
V04,crudo,698,1.0721061863584576,0.2760456408503582,1.868166731866557,0.008486168382103245
V04,ponderado IPCW,684,1.1141296219675239,0.27194244007834134,1.9563168038567063,0.00972301329901154
V06,crudo,459,0.20912467214913355,-0.9916089195101299,1.409858263808397,0.7329900004151416
V06,ponderado IPCW,455,0.41630246625040096,-0.8556720895584744,1.6882770220592762,0.521535553583236
V08,crudo,315,1.0747982406899943,-0.7420888881845904,2.8916853695645788,0.24716755734904933
V08,ponderado IPCW,313,1.0451950710369908,-1.1502876237708681,3.2406777658448496,0.35150930544638503
V10,crudo,266,2.3972885988836934,0.1701106527501759,4.624466545017211,0.03584338928488783
V10,ponderado IPCW,266,2.7133588544510228,-0.12838049632134796,5.555098205223393,0.062409474640617975
V12,crudo,230,2.103639655538746,-0.32396119647085797,4.53124050754835,0.09081955293260821
V12,ponderado IPCW,230,2.858893037096468,-0.7387019575937614,6.456488031786697,0.12075823983065652
