cohorte,dominio,n,beta_de,ic_bajo,ic_alto,p
Parkinson,rigidez,804,0.156136743848805,0.08295014004597263,0.22932334765163737,3.216115702234083e-5
Parkinson,bradicinesia,804,0.17751812604952183,0.10111768797904513,0.2539185641199985,6.080108686573698e-6
Parkinson,axial,804,0.18981796764554013,0.10001039315622118,0.2796255421348591,3.798227271445791e-5
Parkinson,bulbar,804,0.14159850474074906,0.07559591936355509,0.20760109011794303,2.9071755953218548e-5
Parkinson,temblor,804,0.01241786406053731,-0.06056777659162145,0.08540350471269607,0.738861827151676
Prodromica,rigidez,864,0.04894623473426678,-0.010747906334893649,0.1086403758034272,0.10839888395488645
Prodromica,bradicinesia,864,0.19269822651839513,0.1140070529575863,0.271389400079204,1.87394210741831e-6
Prodromica,axial,864,0.21721364548123223,0.1474024339687897,0.28702485699367475,1.616916164094897e-9
Prodromica,bulbar,864,0.08160014881957672,0.0185782937907326,0.14462200384842083,0.011330954486365287
Prodromica,temblor,864,0.05144824557571455,-0.019850231763486104,0.1227467229149152,0.15763112848085914
Controles sanos,rigidez,254,-0.01736527090135954,-0.1236921178333021,0.08896157603058301,0.7491548541056336
Controles sanos,bradicinesia,254,0.026069332083447416,-0.08178494450316827,0.1339236086700631,0.636092126734755
Controles sanos,axial,254,0.12436573858830205,-0.0027528506020395582,0.25148432777864366,0.05630697745638255
Controles sanos,bulbar,254,0.0038822411028994544,-0.13086280843457304,0.13862729064037194,0.9550116748225108
Controles sanos,temblor,254,0.05048092811137332,-0.08649588052862421,0.18745773675137084,0.47076601846538013
