tabla,categoria,n_p,n_sig
t02_refutacion_riclpm.csv,exploratorio,30,14
t04_atricion_predictores.csv,exploratorio,30,10
t10_perfiles_dominio_cohorte.csv,exploratorio,15,7
t14_paralelos_parte1.csv,exploratorio,12,7
t02_parte2_vs_parte3.csv,exploratorio,8,6
t04_discriminante.csv,exploratorio,7,2
t03_atenuacion.csv,exploratorio,6,6
t03_contraste_metodo.csv,exploratorio,6,1
t09_dominios_rasgo.csv,exploratorio,6,4
t11_h2_dat.csv,exploratorio,6,3
t11_h3_cargas.csv,exploratorio,6,5
t09_dominios_control_gds.csv,exploratorio,5,3
t11_h6_h7_estratos.csv,exploratorio,4,2
t14_analgesicos.csv,exploratorio,4,4
t04_mixto_ipcw_tv.csv,exploratorio,3,2
t10_comparacion_correlaciones.csv,exploratorio,3,0
t10_controles_negativos.csv,exploratorio,3,2
t10_multigrupo_rho.csv,exploratorio,3,2
t11_h8_miembros.csv,exploratorio,3,2
t03_ordinal_dolor_fenotipo.csv,exploratorio,2,1
t04_controles_negativos.csv,exploratorio,2,1
t10_multigrupo_dif.csv,exploratorio,2,0
t11_h2_ajuste_dat.csv,exploratorio,2,2
t11_h6_h7_interaccion.csv,exploratorio,2,0
t14_parte4_estratos.csv,exploratorio,2,2
t14_parte4.csv,exploratorio,2,2
t14_sexo_estratos.csv,exploratorio,2,2
t05_estatus_regla.csv,exploratorio,1,0
t09_diferencial_gds.csv,exploratorio,1,1
t10_multigrupo_wald.csv,exploratorio,1,0
t11_h3_ajuste.csv,exploratorio,1,1
t11_h3_anidado.csv,exploratorio,1,0
t14_analgesico_motor.csv,exploratorio,1,1
t14_sexo_interaccion.csv,exploratorio,1,0
t01_direccionalidad_sem.csv,primario,8,7
t03_multiplicidad.csv,primario,8,2
t04_mixto.csv,primario,3,2
t01_correlacion_rasgo_libre.csv,primario,1,1
t03_estratificado.csv,sensibilidad,24,8
t03_interaccion.csv,sensibilidad,16,2
t01_direccionalidad_rezagos.csv,sensibilidad,10,9
t04_horizontes.csv,sensibilidad,10,3
t03_sensibilidad_regla_cero.csv,sensibilidad,6,3
t09_dominios_entre.csv,sensibilidad,6,5
t04_mixto_ipcw.csv,sensibilidad,3,2
t05_sintesis_msm.csv,sensibilidad,3,3
t03_modificador_continuo.csv,sensibilidad,2,1
t04_lord.csv,sensibilidad,2,1
t01_correlacion_rasgo.csv,sensibilidad,1,1
t05_dolor_a_ledd.csv,sensibilidad,1,0
t05_ledd_a_dolor.csv,sensibilidad,1,1
t09_dominios_diferencial.csv,sensibilidad,1,1
